     25.27      11.63
      3.00      14.74
     21.48       7.75
     27.91       7.24
     16.75      10.73
     16.26      23.57
     17.79      13.37
     12.25      10.48
     24.59      28.56
      8.03      14.72
     24.85      14.27
      3.65      11.34
     16.04      18.42
     15.23      25.95
     27.78      17.78
      1.35      22.39
     25.94       1.09
     15.65       2.57
     12.37      15.94
     10.23      16.73
      3.93       4.31
     13.85       6.62
      7.64       7.62
      1.28      12.86
     22.17      19.46
      3.21       7.89
     24.89       8.54
     11.35       8.07
     10.01       2.96
      8.66      12.59
     15.50      20.97
      1.86       1.39
      7.73      21.76
     12.58      18.10
     10.90      23.30
     18.50      19.75
      5.18      21.24
     27.14       5.06
     23.35      16.80
     17.75       8.84
     20.35      12.29
     17.91       6.57
     23.03      10.66
      4.23      17.18
     22.43      21.72
      7.94       1.93
     17.84      28.92
     14.26      23.56
     20.54      17.94
      5.93      23.29
