     22.83       9.08
      2.16      21.22
     20.18       5.00
     19.91       7.46
      9.77      15.69
     19.27      17.24
      6.22      25.26
      4.27       7.04
     21.18      14.23
     18.05      21.40
     17.75       6.42
      6.11      18.89
     11.98      22.02
     15.31      22.75
     23.44      12.45
      5.94      21.13
     27.28       1.01
     20.21      10.52
     12.17       8.32
      9.12      23.94
      2.68       4.86
     17.80       1.04
      7.55       5.87
     13.64      15.37
     28.62      16.14
      8.10      19.45
     16.93      13.37
      4.35      14.26
     10.62       4.59
      3.94      27.77
     28.45      18.48
      8.08       1.87
     28.57      24.48
     11.27      19.25
      9.82      27.69
     22.91      24.07
     17.65      29.00
     16.97      16.27
     14.28      17.65
      6.53       9.20
     12.94      13.02
     25.93       3.93
     24.98      14.05
     11.44      24.29
     23.85      17.52
      4.52       1.37
     24.17      20.60
     28.33      26.78
     21.46      16.31
     23.17      26.84
