     28.43      11.67
      4.33      17.23
     18.75       6.70
     28.20       3.84
     13.11       8.09
     26.64      26.77
     18.96      14.70
      8.31       4.89
     28.45      28.94
      7.20      14.50
     18.21      11.35
      7.72      11.42
     15.70      12.74
     16.49      27.20
     25.81      14.28
      1.25      16.62
     25.82       5.03
     15.82       1.51
     10.83      11.40
      6.15      18.21
      3.71       7.86
     13.87       1.03
      6.11       4.55
      3.32      14.47
     25.62      21.17
      4.33      10.47
     27.70       7.16
     11.88       3.71
     10.98       1.16
      8.60      18.92
     18.85      22.24
      5.49       2.22
     12.59      26.30
     14.16      24.41
     12.20      28.81
     16.41      17.44
     12.52      18.90
     19.08       9.15
     21.98      10.05
     13.50       5.16
     15.96       6.38
     21.14       4.68
     25.87      11.16
      4.18      24.16
     23.27      25.76
      8.61       1.40
     19.61      28.73
     17.39      23.61
     23.50      18.50
      8.80      23.39
