     28.00      10.87
      4.38      21.28
     22.47       3.92
     27.54       8.20
      6.97      13.97
     19.88      23.64
      9.84      20.01
      1.53       9.82
     22.61      12.12
     14.22      23.61
     20.06       5.61
      4.03      11.79
     11.92      18.78
     19.30      19.63
     26.20       9.69
      2.17      16.18
     28.04       4.74
     21.21       7.86
      8.76       8.21
      8.60      27.42
      2.29       2.09
     19.62       1.13
      4.35       6.49
      7.38      17.48
     27.99      15.09
      5.84      18.90
     22.91       9.14
      7.40      11.55
     14.65       5.51
      2.63      23.76
     27.66      24.34
      8.52       2.04
     19.77      27.98
     14.06      19.67
     11.63      28.77
     18.55      25.50
     14.75      28.44
     15.57      12.40
     15.18      14.63
     10.40       5.62
     17.09      10.49
     24.99       2.79
     26.93      12.88
     11.42      22.80
     27.20      19.85
      6.58       1.23
     26.34      28.97
     22.22      28.36
     22.16      16.21
     16.12      26.28
