     28.87      10.58
      4.37      21.16
     21.99       3.91
     28.79       8.18
      6.82      14.60
     19.58      23.56
      9.85      21.05
      1.68      10.18
     22.51      12.16
     15.16      23.57
     20.46       5.19
      3.50      11.93
     11.61      19.91
     18.07      19.62
     25.80      10.08
      3.49      16.35
     27.39       3.94
     21.10       8.17
      8.81       9.06
      8.91      26.77
      1.95       1.51
     20.03       1.27
      4.71       5.67
      7.97      17.56
     27.82      15.13
      5.83      19.53
     21.79      10.21
      7.53      11.25
     13.87       5.23
      3.53      23.34
     27.39      23.60
      8.75       1.34
     20.40      28.78
     13.69      19.41
     11.89      28.96
     18.22      25.88
     15.42      28.51
     15.97      12.96
     14.85      15.10
     10.00       5.56
     17.15      11.02
     25.02       2.75
     26.19      13.13
     11.28      22.63
     26.80      19.58
      6.43       1.27
     26.07      27.96
     22.47      28.81
     22.38      16.00
     17.37      27.84
